Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Stephen J Pratten                                                                         ,P013603   ,2018-06-08,2018-06-14,014602    ,8296,8296,Capital Corp Build And Securty                                                                                                                                                                          ,Relocation Project management services                                                                                                                                                                                                                                                                      
Wsp Uk Ltd                                                                                ,P013596   ,2018-06-08,2018-06-13,318610    ,29725,29725,Capital Regeneration Economy                                                                                                                                                                            ,May fees -Mamhead Slipway as agreed with Ian                                                                                                                                                                                                                                                                
Devon Communities Together                                                                ,P013587   ,2018-06-08,2018-06-15,119369    ,7500,7500,Supervision And Mgt General                                                                                                                                                                             ,Devon Rural Houisng Partnership                                                                                                                                                                                                                                                                             
Totus Engineering Ltd                                                                     ,P013582   ,2018-06-07,2018-06-13,834300    ,12618,12618,Sports Centres And Swim Pools                                                                                                                                                                           ,Replacement floodlighting at Hontion Leisure                                                                                                                                                                                                                                                                
Bridge Civil Engineering Ltd                                                              ,P013567   ,2018-06-06,2018-09-21,633399    ,48710,48710,Beaches & Foreshores                                                                                                                                                                                    ,Carlton Hill Soakaway as per tender ED0028-18                                                                                                                                                                                                                                                               
G G Locke Ltd                                                                             ,P013551   ,2018-06-06,2018-07-19,454818    ,13314,13314,Capital Play Equipment                                                                                                                                                                                  ,Glen Farm play area fencing.                                                                                                                                                                                                                                                                                
Devon Garden Machinery                                                                    ,P013540   ,2018-06-04,2018-06-11,453951    ,25900,25900,Parks And Pleasure Grounds                                                                                                                                                                              ,1 x Toro 360 Quadsteer                                                                                                                                                                                                                                                                                      
Capita Business Services Ltd                                                              ,P013536   ,2018-06-04,2018-06-11,466433    ,16222,16222,Supervision And Mgt General                                                                                                                                                                             ,software maintenance 1 April 18 - 31 March 20                                                                                                                                                                                                                                                               
Taunton Deane Borough Council                                                             ,P013528   ,2018-06-01,2018-06-08,521001    ,7244,7244,Parks And Pleasure Grounds                                                                                                                                                                              ,Winter 2018 Spring 2019 Bedding Plants                                                                                                                                                                                                                                                                      
James Andrews Recruitment Solutions Ltd                                                   ,NP01232   ,2018-06-29,2018-06-30,685025    ,1875,5250,Supervision And Mgt General                                                                                                                                                                             ,Agency Denise Reeves  W/C  10/06/2018                                                                                                                                                                                                                                                                       
James Andrews Recruitment Solutions Ltd                                                   ,NP01232   ,2018-06-29,2018-06-30,685025    ,1500,5250,Supervision And Mgt General                                                                                                                                                                             ,Agency Denis Reeves x  W/C 03/06/18                                                                                                                                                                                                                                                                         
James Andrews Recruitment Solutions Ltd                                                   ,NP01232   ,2018-06-29,2018-06-30,685025    ,1875,5250,Supervision And Mgt General                                                                                                                                                                             ,Agency fees Denise Reeves W/C 17/06/2018                                                                                                                                                                                                                                                                    
Suez Recycling & Recovery Uk Limited                                                      ,NP01206   ,2018-06-22,2018-06-28,562017    ,3079,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Bulky Waste Collection                                                                                                                                                                                                                                                                                      
Suez Recycling & Recovery Uk Limited                                                      ,NP01206   ,2018-06-22,2018-06-28,562017    ,3016,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Collections of Clinical Waste                                                                                                                                                                                                                                                                               
Suez Recycling & Recovery Uk Limited                                                      ,NP01206   ,2018-06-22,2018-06-28,562017    ,8376,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Emptying Litter & Dog Bins - Dog Bins                                                                                                                                                                                                                                                                       
Suez Recycling & Recovery Uk Limited                                                      ,NP01206   ,2018-06-22,2018-06-28,562017    ,728,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Emptying Litter & Dog Bins - Litter Bins                                                                                                                                                                                                                                                                    
Suez Recycling & Recovery Uk Limited                                                      ,NP01206   ,2018-06-22,2018-06-28,562017    ,4825,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Emptying Recycling Banks - Wheeled Bins                                                                                                                                                                                                                                                                     
