"supplier_name","account_name","service","total_value","privilege","trade_cat","service_category"
"ATKINS LIMITED","SITE INVESTIGATION","NEIGHBOURHOODS AND ENVIRONMENT","10000","Development","73000000","environment"
"BIBLIOTHECA","SUBSCRIPTIONS","NEIGHBOURHOODS AND ENVIRONMENT","9948","Paper","22110000","environment"
"BIFFA WASTE SERVICES LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","5000","Environment","90500000","environment"
"BIFFA WASTE SERVICES LIMITED","CONTRACTS","NEIGHBOURHOODS AND ENVIRONMENT","11570","Environment","90500000","environment"
"BIFFA WASTE SERVICES LIMITED","CONTRACTS","NEIGHBOURHOODS AND ENVIRONMENT","7644","Environment","90500000","environment"
"BLACKBERRY UK LIMITED","SOFTWARE","NEIGHBOURHOODS AND ENVIRONMENT","11900","Data","72000000","environment"
"BRITISH TELECOMMUNICATIONS PLC","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","8008.91","Utility","64200000","environment"
"BRITISH TELECOMMUNICATIONS PLC","SECURITY","NEIGHBOURHOODS AND ENVIRONMENT","8008.91","Utility","64200000","environment"
"BRITISH TELECOMMUNICATIONS PLC","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","6463.37","Equipment","51300000","environment"
"BRITISH TELECOMMUNICATIONS PLC","COMMUNICATION AND COMPUTING - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","134000","Data","72000000","environment"
"BROXAP LIMITED","PURCHASE OF FURNITURE AND EQUIPMENT","NEIGHBOURHOODS AND ENVIRONMENT","5500","Transport","34928480","environment"
"BROXAP LIMITED","ENVIRONMENTAL WORKS LANDSCAPE","NEIGHBOURHOODS AND ENVIRONMENT","5500","Transport","34928480","environment"
"BROXAP LIMITED","ENVIRONMENTAL WORKS LANDSCAPE","NEIGHBOURHOODS AND ENVIRONMENT","11000","Transport","34928480","environment"
