"organisation_name","purchase_order_number","order_date","total_value","supplier_name","account_name","service"
"Rochdale Borough Council","ph100586","2014-10-28","7822","TOBACCO FREE FUTURES CIC","PH BUSINESS CASES","PUBLIC HEALTH"
"Rochdale Borough Council","q1002879","2014-10-28","5595","BINDMONT PRINT SERVICES LTD","ELECTION MATERIALS","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","s1017572","2014-10-28","27529","PENNINE CARE NHS","RENTS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","d1045853","2014-10-29","26585","GROUNDWORK OLDHAM AND ROCHDALE","MINOR BUILDING WORKS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045854","2014-10-29","16607","OLDHAM & ROCHDALE GROUNDWORK TRUST LTD","MINOR BUILDING WORKS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045857","2014-10-30","25000","BLUE ORCHID MANAGEMENT CONSULTANTS LTD","GRANTS TO THE NON VOLUNTARY SECTOR","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045861","2014-10-30","7900","S T HEATINGS SERVICES LTD","BOILER REPLACEMENTS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045862","2014-10-30","40705.7","ROCHDALE & DIST CITIZENS ADVICE BUREAU","ADVICE/SUPPORT","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045865","2014-10-30","5800","ASC RENEWABLES LTD","PURCHASE OF PLANT AND MACHINERY","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045866","2014-10-30","14000","ASC RENEWABLES LTD","EXPENSES - GENERAL","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045868","2014-10-30","136258","CANAL & RIVER TRUST","ROCHDALE CANAL MAINTENANCE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045876","2014-10-30","7980","F S MOULT & SON","IMPROVEMENTS-MODERNISATION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","ph100588","2014-10-30","6040","ICE LIMITED","PH BUSINESS CASES","PUBLIC HEALTH"
"Rochdale Borough Council","d1045890","2014-10-31","7116.52","PARKWOOD LEISURE","MISC CHARGES","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1045897","2014-10-31","6975","D AND M DEMOLITION AND RECYCLING LTD","REMOVAL/STRIP OUT COSTS","ECONOMY AND ENVIRONMENT"
